date,location,city,state
10/16/2004,"Daytona Beach, Florida",Daytona Beach, Florida
10/18/2004,"Marlton, New Jersey",Marlton, New Jersey
10/18/2004,"Boca Raton, Florida",Boca Raton, Florida
10/19/2004,"St. Petersburg, Florida",St. Petersburg, Florida
10/19/2004,"Port Richey, Florida",Port Richey, Florida
10/19/2004,"The Villages, Florida",The Villages, Florida
10/20/2004,"Mason City, Iowa",Mason City, Iowa
10/20/2004,"Rochester, Minnesota",Rochester, Minnesota
10/20/2004,"Eu Claire, Wisconsin",Eu Claire, Wisconsin
10/21/2004,"Downington, Pennsylvania",Downington, Pennsylvania
10/21/2004,"Hershey, Pennsylvania",Hershey, Pennsylvania
10/22/2004,"Wilkes-Barre, Pennsylvania",Wilkes-Barre, Pennsylvania
10/22/2004,"Canton, Ohio",Canton, Ohio
10/22/2004,"St. Petersburg, Florida",St. Petersburg, Florida
10/23/2004,"Fort Meyers, Florida",Fort Meyers, Florida
10/23/2004,"Lakeland, Florida",Lakeland, Florida
10/23/2004,"Melbourne, Florida",Melbourne,Florida
10/23/2004,"Jacksonville, Florida",Jacksonville, Florida
10/24/2004,"Alamagorda, New Mexico",Alamagorda, New Mexico
10/25/2004,"Greeley, Colorado",Greeley, Colorado
10/25/2004,"Council Bluffs, Iowa",Council Bluffs, Iowa
10/25/2004,"Davenport, Iowa",Davenport, Iowa
10/26/2004,"Onalaska, Wisconsin",Onalaska, Wisconsin
10/26/2004,"Richland Center, Wisconsin",Richland Center, Wisconsin
10/26/2004,"Cuba City, Wisconsin",Cuba City, Wisconsin
10/26/2004,"Dubuque, Iowa",Dubuque, Iowa
10/27/2004,"Lancaster, Pennsylvania",Lancaster, Pennsylvania
10/27/2004,"Vienna, Ohio",Vienna, Ohio
10/27/2004,"Findlay, Ohio",Findlay, Ohio
10/27/2004,"Pontiac, Michigan",Pontiac, Michigan
10/28/2004,"Saginaw, Michigan",Saginaw, Michigan
10/28/2004,"Dayton, Ohio",Dayton, Ohio
10/28/2004,"Westlake, Ohio",Westlake, Ohio
10/28/2004,"Yardley, Pennsylvania",Yardley, Pennsylvania
10/29/2004,"Manchester, New Hampshire",Manchester, New Hampshire
10/29/2004,"Portsmouth, New Hampshire",Portsmouth, New Hampshire
10/29/2004,"Toledo, Ohio",Toledo, Ohio
10/29/2004,"Columbus, Ohio",Columbus, Ohio
10/30/2004,"Grand Rapids, Michigan",Grand Rapids, Michigan
10/30/2004,"Ashwaubenon, Wisconsin",Ashwaubenon, Wisconsin
10/30/2004,"Minneapolis, Minnesota",Minneapolis, Minnesota
10/30/2004,"Orlando, Florida",Orlando, Florida
10/31/2004,"Miami, Florida",Miami, Florida
10/31/2004,"Tampa, Florida",Tampa, Florida
10/31/2004,"Gainesville, Florida",Gainesville, Florida
10/31/2004,"Cincinnati, Ohio",Cincinnati, Ohio
11/1/2004,"Wilmington, Ohio",Wilmington, Ohio
11/1/2004,"Burgettstown, Pennsylvania",Burgettstown, Pennsylvania
11/1/2004,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
11/1/2004,"Des Moines, Iowa",Des Moines, Iowa
11/1/2004,"Sioux City, Iowa",Sioux City, Iowa
11/1/2004,"Albuquerque, New Mexico",Albuquerque, New Mexico
11/1/2004,"Dallas, Texas",Dallas, Texas
11/2/2004,"Columbus, Ohio",Columbus, Ohio
